ImageId,Label
1,2
2,0
3,0
4,0
5,1
6,0
7,0
8,3
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,0
25,0
26,0
27,2
28,0
29,0
30,1
31,0
32,0
33,4
34,2
35,0
36,2
37,0
38,0
39,1
40,0
41,1
42,1
43,4
44,9
45,0
46,1
47,0
48,2
49,0
50,1
51,0
52,8
53,0
54,3
55,8
56,2
57,1
58,0
59,2
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,8
75,1
76,8
77,0
78,9
79,2
80,1
81,1
82,0
83,1
84,0
85,9
86,0
87,0
88,3
89,0
90,7
91,0
92,1
93,0
94,0
95,1
96,4
97,3
98,9
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,3
122,0
123,2
124,1
125,6
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,3
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,8
147,7
148,1
149,2
150,0
151,0
152,3
153,5
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,3
162,0
163,4
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,2
172,0
173,0
174,6
175,1
176,1
177,1
178,0
179,1
180,2
181,4
182,0
183,0
184,0
185,4
186,9
187,2
188,1
189,0
190,0
191,0
192,1
193,4
194,0
195,6
196,0
197,9
198,7
199,0
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,0
208,0
209,0
210,2
211,0
212,9
213,3
214,0
215,0
216,2
217,1
218,0
219,1
220,4
221,2
222,0
223,1
224,0
225,2
226,0
227,0
228,6
229,1
230,0
231,0
232,0
233,9
234,1
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,2
244,0
245,0
246,1
247,0
248,8
249,0
250,0
251,9
252,0
253,1
254,3
255,0
256,0
257,0
258,1
259,4
260,0
261,0
262,3
263,0
264,1
265,0
266,0
267,6
268,8
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,4
281,0
282,9
283,2
284,0
285,0
286,3
287,0
288,1
289,9
290,9
291,0
292,0
293,0
294,9
295,9
296,0
297,3
298,0
299,3
300,1
301,6
302,9
303,8
304,2
305,0
306,3
307,1
308,1
309,4
310,1
311,8
312,0
313,0
314,0
315,0
316,3
317,0
318,0
319,1
320,0
321,4
322,1
323,1
324,9
325,8
326,4
327,0
328,1
329,0
330,3
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,8
345,0
346,0
347,0
348,1
349,1
350,2
351,0
352,1
353,7
354,1
355,0
356,8
357,0
358,9
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,2
367,3
368,0
369,1
370,0
371,0
372,0
373,0
374,9
375,7
376,0
377,9
378,0
379,3
380,0
381,0
382,0
383,0
384,9
385,2
386,0
387,1
388,1
389,3
390,0
391,1
392,0
393,9
394,9
395,6
396,1
397,1
398,1
399,0
400,3
401,9
402,0
403,0
404,1
405,1
406,1
407,9
408,0
409,0
410,0
411,0
412,0
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,1
421,9
422,0
423,0
424,0
425,0
426,1
427,4
428,0
429,0
430,1
431,4
432,8
433,0
434,2
435,0
436,1
437,0
438,9
439,1
440,0
441,0
442,4
443,0
444,4
445,0
446,0
447,1
448,0
449,0
450,9
451,0
452,0
453,0
454,9
455,0
456,9
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,4
470,1
471,1
472,4
473,9
474,0
475,0
476,0
477,1
478,3
479,1
480,0
481,0
482,8
483,1
484,2
485,0
486,9
487,9
488,0
489,1
490,0
491,0
492,4
493,1
494,4
495,0
496,0
497,0
498,3
499,2
500,0
501,6
502,0
503,0
504,0
505,1
506,0
507,3
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,1
521,0
522,9
523,0
524,0
525,1
526,1
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,8
535,0
536,5
537,0
538,1
539,0
540,0
541,0
542,2
543,0
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,2
561,0
562,3
563,8
564,1
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,5
573,3
574,0
575,0
576,0
577,0
578,0
579,0
580,2
581,1
582,1
583,2
584,0
585,0
586,1
587,0
588,0
589,8
590,0
591,8
592,8
593,0
594,0
595,0
596,0
597,0
598,6
599,0
600,0
601,1
602,1
603,1
604,1
605,0
606,2
607,8
608,0
609,0
610,0
611,0
612,4
613,1
614,3
615,2
616,4
617,0
618,0
619,0
620,9
621,0
622,1
623,9
624,0
625,0
626,0
627,1
628,3
629,6
630,1
631,0
632,1
633,8
634,0
635,1
636,4
637,0
638,7
639,8
640,3
641,1
642,9
643,9
644,0
645,0
646,1
647,0
648,0
649,1
650,8
651,0
652,8
653,0
654,2
655,8
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,0
664,0
665,0
666,8
667,1
668,1
669,1
670,6
671,1
672,9
673,4
674,3
675,0
676,1
677,1
678,0
679,0
680,0
681,0
682,9
683,0
684,1
685,1
686,3
687,0
688,0
689,9
690,9
691,2
692,6
693,0
694,1
695,8
696,4
697,3
698,9
699,8
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,4
709,0
710,0
711,1
712,0
713,1
714,1
715,0
716,0
717,0
718,3
719,1
720,0
721,0
722,0
723,1
724,0
725,1
726,0
727,6
728,9
729,0
730,0
731,0
732,1
733,3
734,2
735,0
736,1
737,1
738,0
739,1
740,1
741,0
742,0
743,1
744,9
745,3
746,9
747,0
748,0
749,0
750,0
751,0
752,9
753,0
754,0
755,1
756,4
757,7
758,1
759,1
760,9
761,0
762,0
763,0
764,0
765,4
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,0
774,1
775,0
776,3
777,4
778,0
779,3
780,1
781,1
782,6
783,9
784,8
785,1
786,0
787,1
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,3
797,1
798,0
799,9
800,0
801,1
802,1
803,3
804,0
805,1
806,9
807,9
808,6
809,9
810,1
811,5
812,0
813,2
814,0
815,0
816,0
817,0
818,9
819,0
820,0
821,3
822,0
823,0
824,0
825,1
826,9
827,0
828,4
829,0
830,2
831,0
832,0
833,1
834,9
835,3
836,9
837,0
838,1
839,0
840,0
841,1
842,9
843,0
844,8
845,0
846,6
847,0
848,2
849,0
850,1
851,0
852,9
853,0
854,1
855,2
856,0
857,1
858,3
859,0
860,0
861,0
862,4
863,1
864,4
865,0
866,3
867,0
868,9
869,2
870,3
871,0
872,0
873,0
874,1
875,0
876,0
877,1
878,1
879,0
880,1
881,4
882,9
883,1
884,1
885,2
886,0
887,1
888,0
889,0
890,9
891,1
892,0
893,0
894,0
895,4
896,2
897,0
898,9
899,1
900,1
901,0
902,1
903,0
904,0
905,9
906,0
907,0
908,3
909,2
910,0
911,2
912,0
913,0
914,1
915,1
916,0
917,0
918,0
919,1
920,0
921,1
922,1
923,0
924,0
925,4
926,0
927,9
928,0
929,0
930,3
931,0
932,2
933,1
934,4
935,0
936,0
937,0
938,0
939,9
940,1
941,0
942,0
943,6
944,1
945,0
946,9
947,0
948,2
949,9
950,0
951,0
952,0
953,1
954,2
955,3
956,1
957,8
958,1
959,0
960,2
961,0
962,9
963,4
964,0
965,9
966,1
967,1
968,8
969,0
970,1
971,3
972,1
973,9
974,0
975,1
976,0
977,8
978,0
979,7
980,0
981,1
982,8
983,0
984,9
985,0
986,7
987,0
988,1
989,1
990,2
991,1
992,0
993,0
994,6
995,0
996,0
997,6
998,2
999,2
1000,9
1001,0
1002,0
1003,0
1004,0
1005,1
1006,1
1007,4
1008,0
1009,0
1010,9
1011,2
1012,0
1013,1
1014,0
1015,3
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,2
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,2
1040,0
1041,1
1042,6
1043,1
1044,9
1045,0
1046,2
1047,0
1048,0
1049,0
1050,0
1051,2
1052,0
1053,3
1054,1
1055,9
1056,1
1057,1
1058,0
1059,0
1060,1
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,9
1071,0
1072,0
1073,0
1074,6
1075,9
1076,2
1077,0
1078,1
1079,2
1080,9
1081,0
1082,0
1083,2
1084,0
1085,0
1086,0
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,0
1096,0
1097,0
1098,3
1099,0
1100,3
1101,9
1102,2
1103,9
1104,1
1105,8
1106,2
1107,0
1108,0
1109,0
1110,6
1111,0
1112,2
1113,0
1114,1
1115,0
1116,0
1117,2
1118,0
1119,0
1120,9
1121,0
1122,0
1123,0
1124,1
1125,0
1126,3
1127,0
1128,0
1129,1
1130,2
1131,0
1132,0
1133,8
1134,0
1135,3
1136,6
1137,8
1138,1
1139,1
1140,0
1141,0
1142,0
1143,1
1144,1
1145,2
1146,0
1147,9
1148,0
1149,1
1150,1
1151,0
1152,7
1153,8
1154,4
1155,1
1156,0
1157,0
1158,1
1159,8
1160,0
1161,9
1162,1
1163,9
1164,0
1165,0
1166,0
1167,1
1168,2
1169,9
1170,0
1171,0
1172,2
1173,9
1174,1
1175,8
1176,1
1177,1
1178,0
1179,2
1180,1
1181,0
1182,0
1183,9
1184,9
1185,0
1186,0
1187,0
1188,3
1189,1
1190,0
1191,1
1192,0
1193,3
1194,8
1195,8
1196,9
1197,3
1198,0
1199,0
1200,4
1201,0
1202,8
1203,0
1204,0
1205,1
1206,1
1207,9
1208,6
1209,0
1210,0
1211,0
1212,0
1213,8
1214,4
1215,0
1216,9
1217,0
1218,0
